,Test ref#,Hidden layers,Nodes per hidden layer,Activation function,Learnable parameters,Nu,Nf,Nu coefficient,Nf coefficient,Optimiser,Nu range size,Nu range continuous,Resampling,Terminating epoch,Terminating loss,Training duration,Relative L2 error
0,1,4,50,Tanh,10451,7200,20000,1.0,0.1,LBFGS,10,False,False,15637,0.0003689135483,801.5772157580013,0.09421823
1,2,4,30,Tanh,3871,7200,20000,1.0,0.1,LBFGS,10,False,False,14152,0.0006435304530896,388.426742478,0.1507020145654678
2,3,2,42,Tanh,3823,7200,20000,1.0,0.1,LBFGS,10,False,False,24773,0.0013774433173239,621.1513839289998,0.2269475609064102
3,4,4,25,Tanh,2726,7200,20000,1.0,0.1,LBFGS,10,False,False,12077,0.0002713788999244,308.38638354600016,0.0921163707971572
4,5,4,30,ReLU,3871,7200,20000,1.0,0.1,LBFGS,10,False,False,3301,0.0001113173202611,65.94925093599977,2.636981010437012
5,6,4,30,LeakyReLU,3871,7200,20000,1.0,0.1,LBFGS,10,False,False,4529,0.0008883961127139,85.59043502399982,14.484820365905762
6,7,4,30,Softplus,3871,7200,20000,1.0,1.0,Adam,10,False,False,20000,0.0314628668129444,458.8839425659999,14.484820365905762
7,8,4,30,Tanh,3871,7200,20000,1.0,0.1,Adam,10,False,False,10000,0.0329378917813301,185.86173821800003,1.0016357898712158
8,9,4,30,Tanh,3871,7200,20000,1.0,0.1,Adam,10,False,False,60000,0.0182170886546373,1100.6900229889998,0.8108829259872437
9,10,4,30,Tanh,3871,7200,20000,1.0,0.1,Adam,10,False,False,40000,0.0096545657142996,736.6183257509992,0.5846949219703674
10,11,4,30,Tanh,3871,7200,20000,1.0,0.1,Adam,10,True,True,40000,0.0286470558494329,791.960547749999,1.0464202165603638
11,12,4,30,Tanh,3871,7200,20000,1.0,0.1,Adam,10,True,True,100000,0.0047952034510672,1679.8606170240018,0.9048286080360411
12,13,4,30,Tanh,3871,7200,20000,1.0,1.0,Adam,10,True,True,100000,0.020990727469325,1830.567693426001,0.699912428855896
13,14,4,30,Tanh,3871,7200,20000,1.0,0.01,Adam,10,True,True,60000,0.0228999629616737,1182.166869331999,1.1371128559112549
14,15,4,30,Tanh,3871,7200,10000,1.0,0.1,LBFGS,10,False,False,17438,0.0005109775811433,460.294598567,0.1306763887405395
15,16,4,30,Tanh,3871,7200,5000,1.0,0.1,LBFGS,10,False,False,17995,0.000884483102709,471.32239352,0.1906780004501342
16,17,4,30,Tanh,3871,7200,2500,1.0,0.1,LBFGS,10,False,False,13184,0.0003694868646562,348.6376668349999,0.1533145904541015
17,18,4,30,Tanh,3871,7200,2500,1.0,1.0,LBFGS,10,False,False,15089,0.0183402113616466,395.9725379030001,0.7641878128051758
18,19,4,30,Tanh,3871,7200,2500,1.0,0.5,LBFGS,10,False,False,25778,0.0019846628420054,657.873186796,0.2684332430362701
19,20,4,30,Tanh,3871,7200,2500,1.0,0.01,LBFGS,10,False,False,6111,1.706966941128485e-05,160.46156176399973,0.0456141643226146
20,21,4,30,Tanh,3871,7200,2500,1.0,0.001,LBFGS,10,False,False,10390,3.630297214840539e-05,269.355105527,0.6344869136810303
21,22,4,30,Tanh,3871,7200,2500,1.0,0.05,LBFGS,10,False,False,14748,5.38843814865686e-05,377.9868839789997,0.0688329711556434
22,23,4,30,Tanh,3871,7200,2500,1.0,0.01,LBFGS,10,False,False,8832,7.040788477752358e-05,238.0512332909993,0.140169620513916
23,24,4,30,Tanh,3871,7200,5000,1.0,0.01,LBFGS,10,False,False,5627,5.94214943703264e-05,142.68850898999972,0.0706647709012031
24,25,4,30,Tanh,3871,7200,10000,1.0,0.01,LBFGS,10,False,False,5926,2.8223705157870427e-05,147.9789243080004,0.041323821991682
25,26,4,30,Tanh,3871,7200,20000,1.0,0.01,LBFGS,10,False,False,7559,2.5698736862977967e-05,228.99560830599967,0.0569820776581764
26,27,4,30,Tanh,3871,5000,20000,1.0,0.001,LBFGS,10,False,False,3534,1.494158641435206e-05,105.12447632100157,0.0441061705350875
27,28,4,30,Tanh,3871,7200,20000,1.0,0.001,LBFGS,10,False,False,5665,1.3626106920128224e-05,162.63860040500003,0.0341181941330432
28,29,4,30,Tanh,3871,7200,10000,1.0,0.001,LBFGS,10,False,False,4086,1.4643979739048518e-05,102.89075026899992,0.0386890657246112
29,30,4,30,Tanh,3871,7200,5000,1.0,0.001,LBFGS,10,False,False,21479,9.775793296284974e-05,541.422322340999,0.8124343156814575
30,31,4,30,Tanh,3871,7200,1250,1.0,0.01,LBFGS,10,False,False,41341,7.574876508442685e-05,942.9955195270012,0.7716832756996155
31,32,4,30,Tanh,3871,7200,1250,1.0,0.1,LBFGS,10,False,False,41613,0.0054381750524044,1009.630032694,1.2422661781311035
32,33,4,30,Tanh,3871,7200,40000,1.0,0.1,LBFGS,10,False,False,12775,0.0001770418894011,556.9967726169998,0.0766191259026527
33,34,4,30,Tanh,3871,7200,40000,1.0,0.01,LBFGS,10,False,False,9429,2.6600157070788555e-05,412.101323465,0.0468953736126422
34,35,4,30,Tanh,3871,7200,40000,1.0,0.001,LBFGS,10,False,False,6521,1.8223367078462616e-05,285.8223946899998,0.0376112535595893
35,36,4,30,Tanh,3871,7200,40000,1.0,0.0001,LBFGS,10,False,False,3948,1.1164231182192452e-05,170.002763384,0.0425198376178741
36,37,4,30,Tanh,3871,7200,20000,1.0,0.0001,LBFGS,10,False,False,2840,5.240171049081255e-06,81.08913655799915,0.0362012907862663
37,38,4,30,Tanh,3871,7200,10000,1.0,0.0001,LBFGS,10,False,False,3063,1.1375574104022236e-05,79.62267527900076,0.0385993160307407
38,39,4,30,Tanh,3871,7200,5000,1.0,0.0001,LBFGS,10,False,False,6839,5.556959877139889e-06,171.8921225890008,0.0377848446369171
39,40,4,30,Tanh,3871,7200,2500,1.0,0.0001,LBFGS,10,False,False,1973,3.870316504617222e-06,51.032532358000026,0.0371047593653202
40,41,4,30,Tanh,3871,7200,1250,1.0,0.0001,LBFGS,10,False,False,15081,4.636692756321281e-05,348.3376109689998,1.0706437826156616
41,42,4,30,Tanh,3871,7200,1250,1.0,0.001,LBFGS,10,False,False,5641,1.1286159860901536e-05,130.7477515160008,0.4370202720165252
42,43,4,30,Tanh,3871,7200,10000,1.0,1.0,LBFGS,10,False,False,14769,0.0162119232118129,391.0060567090004,0.7477272152900696
43,44,4,30,Tanh,3871,7200,20000,1.0,1.0,LBFGS,10,False,False,19979,0.015466437675058842,570.8667080019986,0.7140608429908752
